file	discworld	Discworld	DISCWORLD	dw-	dw_	L-dw	other_dw_ident	total
tests/test_observers.py	6	0	0	0	0	0	0	6
tests/test_oracle_editors.py	3	0	0	3	0	1	6	13
tests/test_prediction_floor.py	10	0	0	6	0	0	0	16
tests/test_probe_targets.py	22	0	0	19	0	0	21	62
tests/test_render2d.py	5	0	0	0	0	0	0	5
tests/test_renderer.py	3	0	0	0	0	0	0	3
tests/test_scoring_package.py	14	0	0	22	12	18	0	66
tests/test_sim.py	2	0	0	0	0	0	0	2
tests/test_soft_render.py	4	0	0	2	0	0	0	6
tests/test_tables_module.py	2	0	0	1	0	1	4	8
tests/test_tables_replicates.py	6	0	0	7	0	0	0	13
tests/test_token_bench.py	6	0	0	5	0	0	6	17
notebooks/master_eval.ipynb [source]	18	2	1	18	17	10	3	69
notebooks/master_eval.ipynb [outputs]	64	0	0	167	0	90	0	321
notebooks/build_paper_tables_and_figs.ipynb [source]	4	0	0	7	0	6	0	17
notebooks/build_appendix_tables_and_figs.ipynb [source]	4	0	0	15	0	14	0	33
notebooks/build_appendix_tables_and_figs.ipynb [outputs]	0	0	0	20	0	14	0	34
paper/figs/qualitative_edits/README.md	2	0	0	5	0	0	0	7
paper/figs/qualitative_edits/make_figure.py	10	0	0	12	0	5	18	45
paper/figs/qualitative_edits/more_seeds/seed10/qualitative_edits_seed10.json	0	0	0	2	0	0	0	2
paper/figs/qualitative_edits/more_seeds/seed12/qualitative_edits_seed12.json	0	0	0	2	0	0	0	2
paper/figs/qualitative_edits/more_seeds/seed5/qualitative_edits_seed5.json	0	0	0	2	0	0	0	2
paper/figs/qualitative_edits/more_seeds/seed7/qualitative_edits_seed7.json	0	0	0	2	0	0	0	2
paper/figs/qualitative_edits/more_seeds/seed9/qualitative_edits_seed9.json	0	0	0	2	0	0	0	2
paper/figs/qualitative_edits/qualitative_edits_seed0.json	0	0	0	2	0	0	0	2
paper/figs/qualitative_edits_othello/README.md	1	0	0	0	0	0	0	1
paper/figs/qualitative_main/README.md	1	0	0	29	0	6	1	37
paper/figs/qualitative_main/common.py	0	0	0	3	0	1	2	6
paper/figs/qualitative_main/composite_final.json	0	0	0	22	0	4	0	26
paper/figs/qualitative_main/composite_final.py	0	0	0	3	0	0	0	3
paper/figs/qualitative_main/composite_final_sidebyside.json	0	0	0	22	0	4	0	26
paper/figs/qualitative_main/composite_final_sidebyside_single.json	0	0	0	17	0	3	0	20
paper/figs/qualitative_main/rayworld_panel.py	0	0	0	6	0	0	1	7
TOTAL	690	15	2	923	148	228	168	2174
